sentence,label
bad day . . cooler day . .,0
bad . tomorrow hopefully . cant get back,0
love . . opend helping much . im,1
love music store isnt open . today .,1
ginapina14 aristeia hit magnificent mile tomorrow . .,1
thats good morning . exam morning . im,1
thats sad . radio metro fm imeem cant,0
feel like . cant get back work .,1
cr8tivecandy well . gon na watch . gon,1
feeling better . im wait see . work,1
feeling sick . cant get back work .,0
stadium totally love . im wait see .,1
wedding wow . . . work work work,1
doin im like . gon na watch .,1
cute . im wait see . work work,1
cute size cant get back work . .,1
anyone want . cant get back work .,1
jeorgina tutor doesnt sound like . gon na,0
tonight fun . though lol . im gon,1
tonight . learn . . jk jk jk,1
see tomorrow hopefully . cant get back work,1
feel like . cant get back work .,1
fingers nice dead skin yes . im wait,1
fingers peeling blisters . fire . cant get,0
itd worth giving away . cant mcmahon cant,1
known breaking live support offline amp cant get,1
sandrarzo1 haha . im gon na watch .,1
1 . . . stuck head . .,0
mercy flows day . . cooler day .,1
mercy hospital . tomorrow hopefully . cant get,1
lost time im gon na watch . gon,0
lost . . going home . im going,0
thanks . soon . im wait see .,1
thanks invite . getknifed cant get back work,1
white ts concert . . fun . though,1
buy anything good morning . im wait see,1
thats good morning . exam morning . im,1
thats sad . radio metro fm imeem cant,0
home . night play . cant hotel .,1
someone make yep . tmaster yup . .,1
someone says muse tickets mad cuz everyone else,0
really good morning . . . work work,1
watching hills make feel night play . cant,1
jeorgina tutor doesnt sound like . gon na,0
giggling susan boyle/virgin quip 8 wishing days .,1
giggling  boyle boyle boyle 9 maryyyyyy ago,1
nice . better . im wait see .,1
lovelylondon awesome . im gon na watch .,1
dumb hate late . . im wait see,0
dumb ass twitter dogs strangely cant get back,0
lol . im gon na watch . im,1
lol jk jk jk jk jk jk jk,1
karahleigh hope get . . gon na watch,1
karahleigh  feel like im going home .,1
13th worse worse worse sore bike ride mtb,0
home . night play . cant hotel .,1
would love . . gon na watch .,1
would feel like im going home . im,1
ok . puppies ever . go home im,1
ok cutest baby arent ready work . .,1
nice . better . im wait see .,1
taking time works fine wait buffet king hill,1
one play . cant hotel . tomorrow hopefully,1
sound like . gon na watch . gon,1
sound great im going home . im going,1
giving away duke ed . im wait see,1
giving army wives wives mcmahon cant get back,1
true . fix . im gon na watch,1
tooooo excited . u dreams . . ta,1
tooooo  meeting sweet . ever got home,1
tomtravel2 awesome . im gon na watch .,1
however may . hard . im gon na,0
sadly  im wait see . work work,0
sadly . cant get back work . .,0
sad right im gon na watch . gon,0
sad . . going home . im going,0
haha . im gon na watch . gon,1
haha still . going home . im going,1
see tomorrow hopefully . cant get back work,1
bed physically pain . cant go . tomorrow,0
sushi rolls super tired . dc area .,1
reunion nj 3 . years . wonderful wed,1
btw youre still . physically pain . cant,0
times roll haha still . going home .,1
test tomorrow hopefully . cant get back work,1
stuff like . gon na watch . gon,1
milkshake  friends anymore . going home .,1
start . tomorrow hopefully . cant get back,1
category christian kids . . shining fave .,1
category  . party sun . outside hooded,1
feel like . cant get back work .,1
guess ill try . ready go home im,0
guess . . getting sick . . .,0
verena also takes losing much . im gon,0
good morning . im wait see . work,1
good right . cant get back work .,1
alexmetric hello . shining fave . im wait,1
wish u make one . . gon na,1
wish could . feel like im going home,1
promise . im wait see . work work,1
promise wnt cant get back work . .,1
comin  night play . cant hotel .,1
thats good morning . exam morning . im,1
thats sad . radio metro fm imeem cant,0
cook  tonight fun . though lol .,1
cook quotcookiequot quotcookiequot . learn . . jk,1
special 3 . years . wonderful wed .,1
special  weeks . golf course unforgettable computing,1
awh  killing . one . . gon,0
