bigrams1,bigrams2,problaility
get,threaded,0.001
get,scared,0.001
awaisnaseer,like,0.001
awaisnaseer,shezan,0.001
awaisnaseer,mangooo,0.001
awaisnaseer,<,0.001
awaisnaseer,one,0.001
awaisnaseer,yesterday,0.001
worked,car,0.001
worked,work,0.001
worked,<,0.001
worked,showering,0.001
worked,going,0.001
worked,bed,0.001
worked,sooooooooooo,0.001
worked,tired,0.001
worked,sparrow,0.001
worked,signing,0.001
worked,ltcowboy,0.001
worked,upgt,0.001
marama,actually,0.001
marama,start,0.001
marama,afternoon,0.001
marama,<,0.001
marama,try,0.001
marama,something,0.001
marama,wed,0.001
marama,slow,0.001
marama,process,0.001
marama,collecting,0.001
marama,many,0.001
marama,vac,0.001
gfalcone601,aww,0.001
gfalcone601,gi,0.001
gfalcone601,<,0.001
gfalcone601,dont,0.001
gfalcone601,worry,0.001
gfalcone601,well,0.001
gfalcone601,vote,0.001
gfalcone601,nonstop,0.001
gfalcone601,coz,0.001
gfalcone601,love,0.001
gfalcone601,much,0.001
mrstessyman,ever,0.001
mrstessyman,good,0.001
mrstessyman,day,0.001
mrstessyman,<,0.001
mrstessyman,love,0.001
mrstessyman,knitpicks,0.001
getmevideo,sorry,0.001
getmevideo,forte,0.001
getmevideo,ask,0.001
getmevideo,trading,0.001
getmevideo,scalping,0.001
getmevideo,dax,0.001
getmevideo,answer,0.001
getting,ready,0.001
getting,church,0.001
getting,bummed,0.001
getting,watch,0.001
getting,rafa,0.001
getting,whoop,0.001
getting,djokovic,0.001
getting,live,0.001
getting,ill,0.001
getting,settle,0.001
getting,dvr,0.001
getting,suppose,0.001
early,tomorrow,0.001
early,<,0.001
early,last,0.001
early,open,0.001
early,home,0.001
early,goodnight,0.001
needs,shake,0.001
needs,gloomy,0.001
needs,feeling,0.001
needs,<,0.001
needs,maybe,0.001
needs,rain,0.001
minecart,ride,0.001
minecart,<,0.001
minecart,sarahs,0.001
minecart,still,0.001
minecart,afraid,0.001
minecart,anything,0.001
minecart,fun,0.001
tb78,cheers,0.001
tb78,follow,0.001
tb78,<,0.001
sokendrakouture,yea,0.001
sokendrakouture,alone,0.001
good,morning,0.001
good,<,0.001
good,blessed,0.001
good,another,0.001
good,day,0.001
good,share,0.001
good,light,0.001
good,love,0.001
good,others,0.001
realdeal32,<,0.001
yoginifoodie,well,0.001
yoginifoodie,thanks,0.001
yoginifoodie,lol,0.001
yoginifoodie,want,0.001
yoginifoodie,<,0.001
mileycyrus,ill,0.001
mileycyrus,play,0.001
mileycyrus,pwn,0.001
mileycyrus,<,0.001
mileycyrus,yeeee,0.001
mileycyrus,btw,0.001
mileycyrus,voted,0.001
got,hot,0.001
got,tub,0.001
got,<,0.001
got,go,0.001
got,get,0.001
got,movie,0.001
got,ice,0.001
got,cream,0.001
got,mt,0.001
got,lil,0.001
got,sis,0.001
got,call,0.001
got,night,0.001
got,nothing,0.001
got,like,0.001
got,time,0.001
flyingbolt,good,0.001
flyingbolt,without,0.001
flyingbolt,<,0.001
lol,help,0.001
lol,im,0.001
lol,obsessed,0.001
lol,hannah,0.001
lol,montana,0.001
hate,people,0.001
hate,move,0.001
hate,away,0.001
http//bit,<,0.001
http//bit,ly/aebs3,0.001
http//bit,sad,0.001
http//bit,iranelection,0.001
sctunstall,woah,0.001
sctunstall,<,0.001
sctunstall,im,0.001
sctunstall,glad,0.001
sctunstall,cut,0.001
sctunstall,ran,0.001
sctunstall,two,0.001
sctunstall,west,0.001
sctunstall,wing,0.001
sctunstall,episodes,0.001
digitallearnin,heppells,0.001
digitallearnin,opening,0.001
digitallearnin,sentences,0.001
digitallearnin,describe,0.001
digitallearnin,see,0.001
digitallearnin,nz,0.001
digitallearnin,schools,0.001
digitallearnin,developing,0.001
digitallearnin,current,0.001
digitallearnin,govt,0.001
digitallearnin,<,0.001
